run_name,scope,optimization_point,status,baseline_run,train_step_total_ms,e2e_speedup_vs_baseline,all_to_all_ms,all_to_all_speedup_vs_baseline,expert_swap_cuda_ms_sum,expert_swap_cuda_ms_avg_per_record,expert_swap_wall_ms_sum,dispatch_cuda_ms_sum,dispatch_cuda_ms_avg_per_call,combine_cuda_ms_sum,combine_cuda_ms_avg_per_call,expert_compute_ms,sampled_rank_step_pairs,source
qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,ep32_new4,Baseline original fused MoE,baseline,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,126087.990234,1.000000,98066.233063,1.000000,0.277120,0.069280,0.279389,45278.566856,78.608623,52787.666206,91.645254,3835.851599,4.000000,summary_json
qwen3vl_full48_sharegpt4v_ep32_mb4_gbs128_100step_new4_20260624_232845,ep32_new4,Other,incomplete,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,0.000000,,0.000000,,,,,,,,,0.000000,0.000000,summary_json
qwen3vl_hiermoe_asyncwait_ep32_mb4_gbs128_6step_new4_20260627_190623,ep32_new4,Async split-size wait placement,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,76644.353516,1.645105,29656.507891,3.306736,1355.432159,,1227.934506,189989.030557,13.743419,237508.819943,17.180904,3847.619820,4.000000,summary_json
qwen3vl_hiermoe_dedup_only_ep32_mb4_gbs128_6step_new4_20260628_143328,ep32_new4,HierD-AlltoAll token dedup only,kept-analysis,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,77861.341797,1.619391,33452.334785,2.931521,0.329260,0.082315,0.298879,15332.195482,13.309197,18120.139303,15.729288,3799.643498,4.000000,summary_json
qwen3vl_hiermoe_deduponly_ep32_mb4_gbs128_new4_6step_20260628_225006,ep32_new4,HierD-AlltoAll token dedup only,kept-analysis,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,74848.355469,1.684579,32949.396075,2.976268,0.286840,,0.290828,186211.700983,13.470175,263542.462473,19.064125,3842.520136,4.000000,summary_json
qwen3vl_hiermoe_g4_ep32_mb4_gbs128_6step_new4_20260628_015341,ep32_new4,Hierarchy/group-size experiment,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,100701.228516,1.252100,54900.758302,1.786246,1405.571564,351.392891,1267.039232,26386.907764,22.905302,28513.850538,24.751606,3848.096757,4.000000,summary_json
qwen3vl_hiermoe_global2d_ep32_mb4_gbs128_6step_new4_20260627_175926,ep32_new4,Global 2D expert-swap selector,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,82165.998047,1.534552,30045.459685,3.263929,6539.986053,,6402.786998,191158.900058,13.828045,238825.929286,17.276181,3792.959762,4.000000,summary_json
qwen3vl_hiermoe_hotpath_ep32_mb4_gbs128_6step_new4_20260627_171615,ep32_new4,HierMoE hot-path iteration,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,78096.875000,1.614507,30263.847074,3.240376,2590.910583,,2438.362016,191567.086474,13.857573,242666.132384,17.553974,3848.275804,4.000000,summary_json
qwen3vl_hiermoe_hotpath_ep32_mb4_gbs128_6step_new4_20260627_201348,ep32_new4,HierMoE hot-path iteration,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,75296.105469,1.674562,29555.622853,3.318023,1336.174011,334.043503,1237.004044,14834.778892,12.877412,14720.843961,12.778510,3848.815740,4.000000,summary_json
qwen3vl_hiermoe_hotpath_ep32_mb4_gbs128_6step_new4_20260627_203814,ep32_new4,HierMoE hot-path iteration,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,50089.088867,2.517275,12872.817466,7.618086,1244.081909,311.020477,1244.092954,6454.890800,8.404806,6417.926666,16.713351,1683.204217,4.000000,summary_json
qwen3vl_hiermoe_hotpath_ep32_mb4_gbs128_6step_new4_20260627_210052,ep32_new4,HierMoE hot-path iteration,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,74736.361328,1.687104,29087.657469,3.371404,1432.758423,358.189606,1298.926870,14055.045754,12.200561,15032.611715,13.049142,3849.870963,4.000000,summary_json
qwen3vl_hiermoe_hotpath_ep32_mb4_gbs128_6step_new4_20260627_211618,ep32_new4,HierMoE hot-path iteration,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,74668.955078,1.688627,29041.496336,3.376762,1376.576050,344.144012,1264.682088,14050.711833,12.196798,14990.784503,13.012834,3848.840840,4.000000,summary_json
qwen3vl_hiermoe_hotpath_ep32_mb4_gbs128_6step_new4_20260627_213537,ep32_new4,HierMoE hot-path iteration,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,75415.878906,1.671902,29668.635800,3.305384,1360.896973,340.224243,1206.718916,14130.110365,12.265721,15538.525435,13.488303,3850.373119,4.000000,summary_json
qwen3vl_hiermoe_hotpath_ep32_mb4_gbs128_6step_new4_20260627_220625,ep32_new4,HierMoE hot-path iteration,candidate,qwen3vl_baseline_hotpath_ep32_mb4_gbs128_6step_new4_20260628_113349,74873.925781,1.684004,29172.617962,3.361585,1377.041412,344.260353,1245.647381,14066.169777,12.210217,15106.448185,13.113236,3851.204524,4.000000,summary_json
